Group,Playlist type,responses,Extremely satisfied,Moderately satisfied,Slightly satisfied,Neither satisfied nor dissatisfied,Slightly dissatisfied,Moderately dissatisfied,Extremely dissatisfied,The entire playlist,Most of the playlist,About half the playlist,Some of the playlist,One or two songs,Did not listen,All,Most,About half,One or two,None,"Yes, most of them","Yes, many of them","Yes, a few",No,"Yes, unique","No, not unique",Don't remember
1,not_promoted,2,0,5,1,0,0,0,0,2,5,0,0,0,0,1,3,2,0,0,2,3,1,0,1,5,0
2,promoted,7,2,4,5,2,2,1,0,14,3,1,0,0,0,4,2,3,7,3,6,5,6,1,3,15,1
3,spotify,5,5,4,2,0,1,1,1,14,1,0,0,0,0,4,4,4,1,2,6,6,1,2,3,12,0
4,random,8,1,2,4,0,5,3,7,15,6,0,0,2,1,0,2,3,6,13,1,5,5,13,18,5,1
